"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","log10T90","Beta","Alpha","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","log10T90Sqr","BetaSqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Beta_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",21.1545856750033,0.49787317309306,1.68528474322361,4.15427233574693,-10.8615443013702,1.397940009,0.97675846456461,1.72533482464354,1.99215342891529,-5.73555346213348,447.516495081055,0.247877696485752,2.84018466574227,17.2579786395522,117.973144610627,1.95423626876292,0.954057098098614,2.97678025712776,3.96867528433895,32.8965735169914,0.0244827442519859,0.900292283742838,0.550117735141401,0.275376136937381,0.17141455717469,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,5.28864641875083,0.124468293273265,0.421321185805902,1.03856808393673,-2.71538607534255,0.34948500225,0.244189616141153,0.431333706160885,0.498038357228823,-1.43388836553337,2.04,0.482873583608754
"011211A",20.9997109050585,0.0099540052549258,1.73074257586597,4.26485949967483,-11.2395979197538,2.431363764,0.853438869165362,1.64534823442993,1.91703135792151,-5.54501519311092,440.987858096033,9.90822206150904e-05,2.99546986391517,18.1890265519666,126.328561397734,5.91152975289225,0.728357903402252,2.70717081254169,3.67500922725439,30.7471934918309,0.130539784388153,0.932742339781788,0.506703291736532,0.277356973191311,0.181972895749665,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,5.24992772626462,0.00248850131373145,0.432685643966493,1.06621487491871,-2.80989947993845,0.607840941,0.21335971729134,0.411337058607482,0.479257839480377,-1.38625379827773,2.14,0.496929648073215
"020124A",21.1181965423643,0.286068555062632,1.66001947418774,3.91410542926874,-10.9131476386435,1.661907293,1.0428136777156,1.63426446338123,2.02236215224452,-5.79045330113306,445.978225201927,0.0818352181956221,2.75566465468254,15.320221311431,119.09679138283,2.76193585052659,1.08746036643074,2.67082033627074,4.08994867483109,33.5293494326027,0.0244827442519859,0.90257001820039,0.511618682485211,0.272447665371625,0.207238772329055,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,5.27954913559107,0.071517138765658,0.415004868546935,0.978526357317185,-2.72828690966087,0.41547682325,0.2607034194289,0.408566115845307,0.50559053806113,-1.44761332528327,3.198,0.623042434246382
"021004A",21.0810752717726,0.355429318153098,1.67186887883644,4.29516508390921,-10.8684430994752,2,0.903350579336548,1.35865799629035,1.96438080403683,-5.46547580308238,444.411734614142,0.126330000202776,2.79514554802181,18.4484430980328,118.12305540653,4,0.816042269187677,1.84595155088371,3.85879194326838,29.871425754079,0.0323072045959819,0.883704924196736,0.545930424138197,0.280112623972014,0.176049051708436,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,5.27026881794315,0.0888573295382745,0.41796721970911,1.0737912709773,-2.7171107748688,0.5,0.225837644834137,0.339664499072588,0.491095201009208,-1.3663689507706,2.34,0.523746466811564
"030226A",21.0511868725117,0.320464469437468,1.69364237204975,4.14897881818263,-10.9834117398215,1.344195716,0.877629088470607,1.73674225636793,1.94602716780256,-5.88907181132459,443.152468741409,0.102697476171838,2.8684244844023,17.2140252337281,120.635333446449,1.80686212291275,0.770232816929749,3.01627366505397,3.78702173782565,34.6811667989379,0.0244827442519859,0.874814677487936,0.510509272734197,0.285679143570633,0.179506718198396,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,5.26279671812792,0.080116117359367,0.423410593012437,1.03724470454566,-2.74585293495538,0.336048929,0.219407272117652,0.434185564091983,0.48650679195064,-1.47226795283115,1.99,0.47567118832443
"030329A",21.2067839200846,0.780376798107853,1.63361744707194,4.34249147238106,-10.4321304634287,1.798650645,0.846257054672227,1.42397065582587,1.94924493372129,-5.15361554086595,449.727684233159,0.608987947025065,2.66870596337784,18.8572321877022,108.829346005997,3.23514414275892,0.716151002582513,2.02769242865316,3.79955581163812,26.559753143055,0.038778433249538,0.902603802592917,0.514556015836478,0.267578295140017,0.179043391364791,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,5.30169598002115,0.195094199526963,0.408404361767985,1.08562286809527,-2.60803261585718,0.44966266125,0.211564263668057,0.355992663956468,0.487311233430323,-1.28840388521649,0.17,0.0681858617461616
"050315A",21.91683806,0.285557309,2.11,4.86356,-11.3757179,1.980457892,0.856,1.10818,1.99544,-5.492144128,480.347790548265,0.0815429767233215,4.4521,23.6542158736,129.40695774038,3.92221346198508,0.732736,1.2280629124,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",20.92661714,0.499687083,1.9,4.132084541,-11.15490196,1.505149978,0.95,1.874408221,1.98053,-5.966576245,437.923304924142,0.249687180917049,3.61,17.0741226539712,124.431837737212,2.2654764562734,0.9025,3.51340617895238,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",20.93735437,0.181843588,2.02,3.73997,-10.70553377,2.183383742,0.971,0.863159,2.01045,-5.882728704,438.372808014958,0.0330670904967137,4.0804,13.9873756009,114.60845330061,4.76716456482992,0.942841,0.745043459281,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",22.12570242,1.029383778,1.4,3.12435,-9.653647026,1.506369717,0.9995,0.984108,1.78711,-5.085128182,489.546707578394,1.05963096240955,1.96,9.7615629225,93.1929009025986,2.26914972429466,0.99900025,0.968468555664,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
