GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
050315A,1.949,1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.03245,0.04512,0.049165,0.001,1.459999989558559e-07,0.09,0.21999999788064165
050318A,1.44,1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.06181969,0.043780336,0.085906519,0.037,7.699999976042638e-08,0.1,0.20000000362811168
050319A,3.24,2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.04165,0.06193,0.034558,0.009,1.4800000078118802e-07,0.19,0.20999999892219423
050401A,2.9,1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.019455,0.02833,0.0260615,0.0174145,3.060000032658705e-07,0.07,0.920000005845378
050505A,4.27,1.770115295,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.03272177,0.030067592,0.035926291,0.0005,1.7899999784059205e-07,0.12,0.309999999965594
050730A,3.967,2.194514342,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.0266,0.017795,0.0538,0.000210492,1.5199999830095915e-07,0.11,0.13999999945739725
050802A,1.7102,1.477121255,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.0275,0.0326,0.03274,0.002369606,1.570000009070904e-07,0.13,0.43999999951013347
050803A,3.5,1.943988875,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.0489,0.04766,0.048695,0.22485626,1.3500000242797063e-07,0.11,0.10999999913950041
050824A,0.8278,1.353723938,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.06855,0.12722,0.0899785,0.01,5.1999999949839194e-08,0.38,0.1500000003778759
050826A,0.297,1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.23405,0.13858,0.23538,0.03,7.19999998680733e-08,0.31,0.13000000009761106
060115A,3.53,2.144885418,-11.29499204,3.69688,0.889919,1.0,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791,0.0812,0.123015,0.053884,0.085,1.499999991381175e-07,0.303030303,0.11999999978672436
060124A,2.296,1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.04445,0.036665,0.01627,0.076380116,5.299999956821069e-08,0.19,0.18000000007214087
060206A,4.048,0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.07055,0.07444,0.02867,0.013041887,4.200000076245679e-08,0.181818182,0.17000000126627351
060210A,3.91,2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.0292,0.030365,0.02297,0.083622271,4.0900000578371383e-07,0.09,0.28000000059294755
